name,token
Dr. Andre Corgi,3
Corgi Nurse 1,4
Corgi Nurse 2,5
Corgi Nurse 3,6
Corgi Nurse 4,7
Corgi Nurse 5,9
Corgi Nurse 6,10
Corgi Nurse 7,11
Corgi Nurse 8,12
Corgi Nurse 9,13
Corgi Nurse 10,14
Corgi Nurse 11,15
Corgi Nurse 12,16
Corgi Nurse 13,17
Corgi Nurse 14,18
Corgi Nurse 15,19
Corgi Nurse 16,20
Corgi Nurse 17,21
Corgi Nurse 18,22
Corgi Nurse 19,23
Corgi Nurse 20,24
Emperor Corgatine,25
Darth Corgi,26
Corgi Trooper #1,27
Corgi Trooper #2,28
Corgi Trooper #3,29
Corgi Trooper #4,30
Corgi Trooper #5,31
Corgi Trooper #6,32
Corgi Trooper #7,33
Corgi Trooper #8,34
Corgi Trooper #9,35
Corgi Trooper #10,36
Corgi Trooper #11,37
Corgi Trooper #12,38
Corgi Trooper #13,39
Corgi Trooper #14,40
Corgi Trooper #15,41
Corgi Trooper #16,42
Corgi Trooper #17,43
Corgi Trooper #18,44
Corgi Trooper #19,45
Corgi Trooper #20,46
Corgi Trooper #21,47
Corgi Trooper #22,48
Corgi Trooper #23,49
Corgi Trooper #24,50
Corgi Chef,51
Corgi Soup,52
Professional Corgi,53
Corgi Intern #1,54
Corgi Intern #2,55
Corgi Intern #3,56
Corgi Intern #4,60
Corgi Intern #5,61
Corgi Intern #6,62
Corgi Intern #7,63
Corgi Intern #8,64
Corgi Intern #9,65
Corgi Intern #10,66
Corgi Intern #11,67
Corgi Intern #12,68
Corgi Intern #13,69
Corgi Intern #14,70
Corgi Intern #15,71
Corgi Intern #16,72
Corgi Intern #17,73
Corgi Intern #18,74
Corgi Intern #19,75
Corgi Intern #20,76
Corgi Intern #21,77
Corgi Intern #22,78
Corgi Intern #23,79
Bosch Corgi,80
Spirit of Corgi,81
Captain Corgi,82
CorgiVee,83
Interstellar Corgi,84
Austin Corgi,85
24 Corgi$,86
Bebis Corgi,87
